HLA_Class,HLA_FourDigits
ClassII,DRB1_1302
ClassII,DRB1_1303
ClassII,DRB1_1304
ClassII,DRB1_1305
ClassII,DRB1_1306
ClassII,DRB1_1307
ClassII,DRB1_1308
ClassII,DRB1_1309
ClassII,DRB1_1310
ClassII,DRB1_1311
ClassII,DRB1_1312
ClassII,DRB1_1313
ClassII,DRB1_1314
ClassII,DRB1_1315
ClassII,DRB1_1316
ClassII,DRB1_1317
ClassII,DRB1_1318
ClassII,DRB1_1319
ClassII,DRB1_1320
ClassII,DRB1_1321
ClassII,DRB1_1322
ClassII,DRB1_1323
ClassII,DRB1_1324
ClassII,DRB1_1326
ClassII,DRB1_1327
ClassII,DRB1_1329
ClassII,DRB1_1330
ClassII,DRB1_1331
ClassII,DRB1_1332
ClassII,DRB1_1333
ClassII,DRB1_1334
ClassII,DRB1_1335
ClassII,DRB1_1336
ClassII,DRB1_1337
ClassII,DRB1_1338
ClassII,DRB1_1339
ClassII,DRB1_1341
ClassII,DRB1_1342
ClassII,DRB1_1343
ClassII,DRB1_1344
ClassII,DRB1_1346
ClassII,DRB1_1347
ClassII,DRB1_1348
ClassII,DRB1_1349
ClassII,DRB1_1350
ClassII,DRB1_1351
ClassII,DRB1_1352
ClassII,DRB1_1353
ClassII,DRB1_1354
ClassII,DRB1_1355
ClassII,DRB1_1356
ClassII,DRB1_1357
ClassII,DRB1_1358
ClassII,DRB1_1359
ClassII,DRB1_1360
ClassII,DRB1_1361
ClassII,DRB1_1362
ClassII,DRB1_1363
ClassII,DRB1_1364
ClassII,DRB1_1365
ClassII,DRB1_1366
ClassII,DRB1_1367
ClassII,DRB1_1368
ClassII,DRB1_1369
ClassII,DRB1_1370
ClassII,DRB1_1371
ClassII,DRB1_1372
ClassII,DRB1_1373
ClassII,DRB1_1374
ClassII,DRB1_1375
ClassII,DRB1_1376
ClassII,DRB1_1377
ClassII,DRB1_1378
ClassII,DRB1_1379
ClassII,DRB1_1380
ClassII,DRB1_1381
ClassII,DRB1_1382
ClassII,DRB1_1383
ClassII,DRB1_1384
ClassII,DRB1_1385
ClassII,DRB1_1386
ClassII,DRB1_1387
ClassII,DRB1_1388
ClassII,DRB1_1389
ClassII,DRB1_1390
ClassII,DRB1_1391
ClassII,DRB1_1392
ClassII,DRB1_1393
ClassII,DRB1_1394
ClassII,DRB1_1395
ClassII,DRB1_1396
ClassII,DRB1_1397
ClassII,DRB1_1398
ClassII,DRB1_1399
ClassII,DRB1_1401
ClassII,DRB1_1402
ClassII,DRB1_1403
ClassII,DRB1_1404
ClassII,DRB1_1405
ClassII,DRB1_1406
ClassII,DRB1_1407
ClassII,DRB1_1408
ClassII,DRB1_1409
ClassII,DRB1_1410
ClassII,DRB1_1411
ClassII,DRB1_1412
ClassII,DRB1_1413
ClassII,DRB1_1414
ClassII,DRB1_1415
ClassII,DRB1_1416
ClassII,DRB1_1417
ClassII,DRB1_1418
ClassII,DRB1_1419
ClassII,DRB1_1420
ClassII,DRB1_1421
ClassII,DRB1_1422
ClassII,DRB1_1423
ClassII,DRB1_1424
ClassII,DRB1_1425
ClassII,DRB1_1426
ClassII,DRB1_1427
ClassII,DRB1_1428
ClassII,DRB1_1429
ClassII,DRB1_1430
ClassII,DRB1_1431
ClassII,DRB1_1432
